name,link,cuisine,rating,address,from,tel,coordinate,description
962. Ya Hua Bak Kut Teh,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425014-Reviews-Ya_Hua_Bak_Kut_Teh-Singapore.html,"Chinese, Asian",4,"593 Havelock Road Isetan Office Building #01-01/02, Isetan Office Building, Singapore 169641 Singapore","Bukit Merah,1.5 km from Orchard Road",+65 6235 7716,"1.289621,103.832100","DetailsCUISINESChinese, Asian, Soups, SingaporeanMealsLunch, Dinner, BrunchFEATURESSeating, Table Service, TakeoutView all detailsfeatures"
963. The Masses Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12491190-Reviews-The_Masses_Singapore-Singapore.html,"72 reviews,$$ - $$$",4,"85 Beach Road #01-02 85 Beach Garden Hotel, Singapore 189694 Singapore","Central Area/City Area,0.5 km from Arab Street",+65 6266 0061,"1.297320,103.856621","DetailsMealsLunch, Dinner, Brunch, DrinksFEATURESReservations, Seating, Street Parking, Serves Alcohol, Wine and Beer, Table Service, Outdoor Seating, Highchairs AvailableView all detailsabout"
964. L'Atelier Tiramisu,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5421276-Reviews-L_Atelier_Tiramisu-Singapore.html,Cafe,4.5,"6 Eu Tong Sen Street The Central #b1-09, Singapore 059817 Singapore","Central Area/City Area,0.6 km from Boat Quay",+65 9389 8582,"1.289167,103.846992","DetailsCUISINESCafeFEATURESTakeout, SeatingView all details"
965. Gokul Vegetarian Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5431048-Reviews-Gokul_Vegetarian_Restaurant-Singapore.html,"Indian, Asian",4,"190 Middle Road #01-07 Fortune Centre Fortune Centre, Singapore 188979 Singapore","Central Area/City Area,0.6 km from Little India",+65 6337 4811,"1.300440,103.852249","DetailsCUISINESIndian, AsianSpecial DietsVegetarian Friendly, Vegan OptionsMealsBreakfast, Lunch, Dinner, BrunchView all detailsmeals, features"
The Obelisk,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15010047-Reviews-The_Obelisk-Singapore.html,"European, Spanish",5,"61 Tanjong Pagar Road, Singapore 088482 Singapore","Outram,0.5 km from Chinatown",+65 6655 2691,"1.278349,103.843887","DetailsPRICE RANGES$20 - S$43CUISINESEuropean, Spanish, Asian, Thai, FusionMealsDinner, After-hours, DrinksView all detailsfeatures, about"
966. Supply and Demand,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5020150-Reviews-Supply_and_Demand-Singapore.html,"Italian, Bar",3.5,"8 Raffles Avenue Esplanade Mall Esplanade Mall #01-13 Annexe, Singapore 039802 Singapore","Marina Centre,0.4 km from Merlion Park",+65 6336 0588,"1.289410,103.856659","DetailsCUISINESItalian, Bar, Pizza, Diner, GastropubSpecial DietsVegetarian FriendlyMealsLunch, Dinner, After-hours, DrinksView all detailsmeals, features, about"
967. Cafe & Bar Gavroche,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5243310-Reviews-Cafe_Bar_Gavroche-Singapore.html,"French, Cafe",4,"69 Tras Street, Singapore 079005 Singapore","Outram,0.6 km from Chinatown",+65 6225 4869,"1.277630,103.844460","DetailsPRICE RANGES$12 - S$30CUISINESFrench, Cafe, European, Wine BarMealsLunch, Dinner, Brunch, After-hoursView all detailsfeatures, about"
968. Deli's Kitchen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13952522-Reviews-Deli_s_Kitchen-Singapore.html,"Japanese, Asian",4.5,"91 Bencoolen Street Sunshine Plaza #01-54 Sunshine Plaza, Singapore 189652 Singapore","Central Area/City Area,0.6 km from Little India",+65 6926 6176,"1.300731,103.850632","DetailsPRICE RANGES$10 - S$40CUISINESJapanese, AsianMealsDinnerView all detailsfeatures, about"
969. Amber Tandoor Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3589216-Reviews-Amber_Tandoor_Restaurant-Singapore.html,"Indian, Asian",4,"195A Serangoon Road Broadway Hotel Broadway Hotel, Singapore 218067 Singapore","Little India,0.4 km from Little India",+65 6297 3442,"1.309036,103.853432","DetailsCUISINESIndian, Asian, NepaleseSpecial DietsVegetarian Friendly, Vegan OptionsMealsLunch, Dinner, BrunchView all detailsmeals, features"
970. Ramen Champion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3456847-Reviews-Ramen_Champion-Singapore.html,"Japanese, Asian",4,"Terminal 3 Changi Airport, Singapore Singapore",Changi,+65 6214 2958,"1.355413,103.986984","DetailsCUISINESJapanese, AsianMealsLunch, DinnerFEATURESReservations, Seating, Wheelchair AccessibleView all detailsfeatures"
Winestone,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13913142-Reviews-Winestone-Singapore.html,"European, Wine Bar",4.5,"30 Stevens Road #01-09, Singapore 257840 Singapore","Tanglin,1.3 km from Singapore Botanic Gardens",+65 6491 6100,"1.313850,103.828873","Food and ambienceEuropean, Wine Bar, Vegetarian FriendlyFor the mains, sea bass with prawns, spicy mackerel, seafood stew and corn fe...Classy Ambience & Good Pasta... for a Winestone Signature Angus Burger; and the best part, it is deliciou...... Will definitely come back again We had the burger and turbot would recommend"
971. Founder Bak Kut Teh,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10341953-Reviews-Founder_Bak_Kut_Teh-Singapore.html,"Chinese, Asian",4,"500 Jalan Sultan Hotel Boss Hotel Boss #01-09, Singapore 199020 Singapore","Crawford,1.0 km from Little India",+65 6816 2582,"1.305359,103.860252","DetailsPRICE RANGES$7 - S$25CUISINESChinese, Asian, Contemporary, Singaporean, SoupsMealsLunch, Dinner, BrunchView all detailsfeatures, about"
972. Ah Loy Thai,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d800840-Reviews-Ah_Loy_Thai-Singapore.html,"Asian, Thai",4,"9 Tan Quee Lan Street Tanqueelan Suites #01-04, Singapore 188098 Singapore","Central Area/City Area,0.4 km from Arab Street",+65 8488 6528,"1.298851,103.857155","Food and ambienceAsian, ThaiAuthentic Thai food worth the price!We ordered clear and thick Tom Yam soup, Pad Thai, Green Curry, Pineapple Ric...... particularly loved the Tomyam Seafood, Pineapple Fried Rice & the Pad Thai."
973. Sushi Mitsuya,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4283253-Reviews-Sushi_Mitsuya-Singapore.html,"Japanese, Sushi",4.5,"60 Tras Street #01-01 Singapore 078999, Singapore Singapore","Outram,0.5 km from Chinatown",+65 6438 2608,"1.277858,103.844360","DetailsCUISINESJapanese, Sushi, AsianMealsLunch, DinnerFEATURESReservations, Private Dining, Seating, Serves Alcohol, Table ServiceView all detailsfeatures"
974. Scaled by Ah Hua Kelong,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13299368-Reviews-Scaled_by_Ah_Hua_Kelong-Singapore.html,"Seafood, Asian",5,"55 Haji Lane, Singapore 189248 Singapore","Central Area/City Area,1.0 km from Little India",+65 9830 0117,"1.301165,103.858734","Food and ambienceSeafood, AsianFresh seafood and great service!Sea bass is really fragrant n fresh.We tried the curry mussels as well as the pasta which were absolutely delicious."
975. Koh Grill and Sushi Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2705597-Reviews-Koh_Grill_and_Sushi_Bar-Singapore.html,"Japanese, Sushi",4,"435 Orchard Road Wisma Atria, Singapore 238877 Singapore","Boulevard,1.7 km from Singapore Botanic Gardens",+65 9180 3805,"1.303947,103.833176","DetailsCUISINESJapanese, Sushi, AsianMealsLunch, Dinner, BrunchFEATURESTakeout, Seating, Serves Alcohol, Table ServiceView all detailsfeatures"
Alt Pizza,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12692936-Reviews-Alt_Pizza-Singapore.html,Pizza,4,"60 Robertson Quay The Quayside 01-05, Singapore 238252 Singapore","Robertson Quay,1.0 km from Chinatown",+65 6733 0490,"1.290260,103.839188","DetailsCUISINESPizzaMealsDinner, Lunch, DrinksFEATURESDelivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit CardsView all detailsfeatures, about"
976. Beaulieu House / Sembawang Seafood Paradise,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5424653-Reviews-Beaulieu_House_Sembawang_Seafood_Paradise-Singapore.html,"Chinese, Asian",4,"117 Beaulieu Road, Singapore 759837 Singapore",Sembawang,+65 6257 9234,"1.463536,103.836922","Food and ambienceLocal cuisine, Chinese, Asian, Singaporean, Seafood, Vegetarian FriendlyGood Chinese food and seafood... a cosy setting within a preserved colonial house with a sea view to boot.I can highly recommend the drunken prawns, the tofu with green vegetables and...The assortment included Sweet and sour fish, Chilli chicken, Prawns in batter..."
977. Fumee by Habanos,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8813507-Reviews-Fumee_by_Habanos-Singapore.html,"Bar, Fusion",4,"9 Raffles Boulevard Millenia Walk #01-54, Millenia Walk, Singapore 039596 Singapore","Marina Centre,0.8 km from Merlion Park",+65 6835 7339,"1.291678,103.859619","Food and ambienceBar, Fusion, European, Wine Bar, Gastropub... tiger prawns alot, couple with the homemade wagyu beef patty burger!Christmas Cake The cake looked like a slice of log cake, served with slices o...Chilli soft-shell crab linguine has a little twist of Singaporean flavour in...Crayfish pasta tasted good, crayfish grilled to perfection and generous servi..."
978. True Blue Cuisine,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d787750-Reviews-True_Blue_Cuisine-Singapore.html,"Asian, Singaporean",3.5,"49 Armenian Street 47, Singapore 179937 Singapore","Museum,0.3 km from City Hall Building",+65 6440 0449,"1.294557,103.849449","Food and ambienceLocal cuisine, Asian, Singaporean, Vegetarian FriendlyNaz our sever was very helpful and suggested some great dishes: large prawns...We enjoyed all the dishes we tried here but the beef and the okra were our fa...... rolls, sweet potato leaves with prawns, chicken with black nut, fish curr..."
979. Huber's Butchery,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5075598-Reviews-Huber_s_Butchery-Singapore.html,"German, Swiss",4,"22 Dempsey Road, Singapore 249679 Singapore","Tanglin,0.9 km from Singapore Botanic Gardens",+65 6737 1588,"1.306696,103.810188","DetailsCUISINESGerman, Swiss, EuropeanMealsDinner, Lunch, BrunchFEATURESOutdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Cash Only, Parking Available, Accepts Credit Cards, PlaygroundsView all detailsfeatures, about"
980. Tambuah Mas,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1013873-Reviews-Tambuah_Mas-Singapore.html,"Asian, Indonesian",4,"19 Tanglin Road Tanglin Shopping Centre, Singapore 247909 Singapore","Central Area/City Area,1.0 km from Singapore Botanic Gardens",+65 6733 3333,"1.306200,103.826622","DetailsCUISINESAsian, IndonesianSpecial DietsVegan Options, HalalMealsLunch, DinnerView all detailsmeals, features"
Ms Durian,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d18840760-Reviews-Ms_Durian-Singapore.html,"Cafe, Asian",5,"51 Upper Serangoon Road #01-70 the Poiz Centre The Poiz Centre, Singapore 347697 Singapore",,,"1.332193,103.868896","DetailsPRICE RANGES$5 - S$90CUISINESCafe, Asian, SingaporeanMealsLunch, Dinner, DrinksView all detailsfeatures, about"
981. LongQing Steamboat,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10453339-Reviews-LongQing_Steamboat-Singapore.html,"Chinese, Asian",4,"18 Hong Kong Street, Singapore 059661 Singapore","Central Area/City Area,0.7 km from Chinatown",+65 6533 1618,"1.287661,103.847397","Food and ambienceChinese, AsianValue Lunch, Solid Hotpot for DinnerComing from an Indian Ethinic Class Singaporean...Thumbs up.The set lunch also include drinks and rice."
982. Akashi Japanese Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d857823-Reviews-Akashi_Japanese_Restaurant-Singapore.html,"Japanese, Sushi",4,"19 Tanglin Road #09-10 Tanglin Shopping Centre # B1, Singapore 247909 Singapore","Central Area/City Area,1.0 km from Singapore Botanic Gardens",+65 6732 4438,"1.306940,103.827377","DetailsPRICE RANGES$7 - S$14CUISINESJapanese, Sushi, AsianMealsLunch, DinnerView all detailsfeatures"
983. The Boneless Kitchen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7243557-Reviews-The_Boneless_Kitchen-Singapore.html,"Asian, Korean",4.5,"1 Irving Place The Commerze@Irving #01-31, Singapore 369546 Singapore",Joo Seng,+65 8457 6464,"1.335952,103.885933","DetailsCUISINESAsian, KoreanSpecial DietsVegetarian Friendly, Vegan OptionsMealsLunch, DinnerView all detailsmeals, features"
984. Blue Label Pizza & Wine,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12913970-Reviews-Blue_Label_Pizza_Wine-Singapore.html,"Pizza, American",4.5,"28 Ann Siang Road #b1-01, Singapore 069708 Singapore","Outram,0.3 km from Chinatown",+65 9821 9362,"1.280833,103.845749","DetailsPRICE RANGES$50 - S$75CUISINESPizza, AmericanSpecial DietsVegetarian FriendlyView all detailsmeals, features, about"
985. PS.Cafe at Martin Road,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8026540-Reviews-PS_Cafe_at_Martin_Road-Singapore.html,"Cafe, European",4,"38 Martin Road, Singapore 239072 Singapore","Central Area/City Area,1.0 km from Orchard Road",+65 6271 7288,"1.292075,103.837845","DetailsCUISINESCafe, EuropeanSpecial DietsVegetarian Friendly, Vegan OptionsMealsBreakfast, Lunch, Dinner, Brunch, DrinksView all detailsmeals, features, about"
Waterfall Ristorante Italiano,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,"Italian, Mediterranean",4.5,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4398,"1.311490,103.826447","Food and ambienceItalian, Mediterranean, European, Healthy, Vegetarian FriendlyExcellent seafood spaghetti with generous amounts of clams, mussels and prawns.We ordered caesar salad and the seafood stew (half a lobster, scallops, clams...Special Occasion Dining, Romantic, Groups, Business meetingsA nice birthday treatGreat ambience for a quiet or romantic dinner!"
986. Keisuke Gyoza King,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5973470-Reviews-Keisuke_Gyoza_King-Singapore.html,"Japanese, Asian",4,"1 Tras Link #01-15 Orchid Hotel, Singapore 078867 Singapore","Central Area/City Area,0.7 km from Chinatown",+65 6604 6674,"1.276649,103.843613","DetailsCUISINESJapanese, AsianMealsLunch, DinnerFEATURESTakeout, Serves Alcohol, SeatingView all detailsfeatures"
987. Brotzeit (Katong),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7216235-Reviews-Brotzeit_Katong-Singapore.html,"German, Bar",4,"126 East Coast Road, Singapore 428811 Singapore","Marine Parade,5.0 km from Singapore Flyer",+65 6348 2040,"1.305873,103.905052","Food and ambienceGerman, Bar, European, Central EuropeanGreat place for German All Day DiningTremendous pork knucklewe had the Brotzeit Platte-Schnitzel between the 2 of us...............like w...Schnitzel likewise."
988. Tampopo @ Takashimaya,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425210-Reviews-Tampopo_Takashimaya-Singapore.html,"Japanese, Asian",4,"391B Orchard Road Ngee Ann City #B2-33, Takashimaya Shopping Centre, Singapore 238872 Singapore","Boulevard,0.5 km from Orchard Road",+65 6235 2318,"1.303206,103.834717","Food and ambienceJapanese, AsianBlack pig ribs with Japanese noodles!I love the tonkatsu!I always order the Wafu Steak Jyu and the Salmon & Crab Roll."
989. Tonkatsu by Ma Maison,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3598800-Reviews-Tonkatsu_by_Ma_Maison-Singapore.html,"Japanese, Asian",4,"333A Orchard Road Mandarin Orchard Singapore 238897 Mandarin Gallery, Singapore 238867 Singapore","Somerset,0.2 km from Orchard Road",+65 6733 4541,"1.301950,103.836983","DetailsCUISINESJapanese, AsianMealsLunch, DinnerFEATURESSeating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table ServiceView all detailsfeatures"
990. Plentyfull,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10715500-Reviews-Plentyfull-Singapore.html,"Contemporary, Fusion",4,"9 Raffles Boulevard Millenia Walk #01-79/80, Singapore 039596 Singapore","Marina Centre,0.9 km from Merlion Park",+65 6493 2997,"1.293051,103.860085","DetailsCUISINESContemporary, FusionSpecial DietsVegetarian FriendlyMealsLunch, Dinner, Brunch, DrinksView all detailsmeals, features, about"
Sushi Jiro,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430677-Reviews-Sushi_Jiro-Singapore.html,Sushi,4,"6 Raffles Boulevard PARKROYAL COLLECTION Marina Bay #04-600, Singapore 039594 Singapore","Marina Centre,0.6 km from Merlion Park",+65 6445 3055,"1.291783,103.857346",Food and ambienceSushiSushi and sashimi were fresh and succulent.Great omakase experienceBusiness meetings... while having quality meal even couples or some business lunch/dinner.
Mimi Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17848386-Reviews-Mimi_Restaurant-Singapore.html,"Chinese, Asian",4.5,"3A River Valley Road Traders' Market #01-02, Clarke Quay, Singapore 179024 Singapore",,,"1.290052,103.844841","DetailsPRICE RANGES$10 - S$28CUISINESChinese, AsianMealsLunch, Dinner, DrinksView all detailsfeatures, about"
991. Ki-sho,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5008625-Reviews-Ki_sho-Singapore.html,"Japanese, Sushi",4.5,"29 Scotts Road, Singapore 228224 Singapore","Central Area/City Area,1.8 km from Singapore Botanic Gardens",+65 6733 5251,"1.310293,103.834740","DetailsPRICE RANGES$279 - S$530CUISINESJapanese, Sushi, AsianMealsDinner, LunchView all detailsfeatures, about"
992. Table at 7,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2571555-Reviews-Table_at_7-Singapore.html,"European, Asian",4.5,"41 Namly Avenue Singapore Institute of Management SIM Management House, Level 3, Singapore 267616 Singapore","Central Area/City Area,0.9 km from Orchard Road",+65 6235 6275,"1.293857,103.842056","DetailsCUISINESEuropean, Asian, IndonesianMealsLunch, DinnerFEATURESReservations, Seating, Serves Alcohol, Table ServiceView all detailsfeatures, about"
993. SE7ENTH,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12799898-Reviews-SE7ENTH-Singapore.html,"International, Contemporary",4,"6 Shenton Way #07-01 Oue Downtown OUE Downtown 1, Singapore 068809 Singapore","Central Area/City Area,0.6 km from Marina Bay",+65 6812 6050,"1.276879,103.848801","Food and ambienceInternational, Contemporary, Bar, Vegetarian Friendly, Vegan OptionsThumbs up for service!... with friends, serious dinner meeting or even a romantic dinner for couples.Business meetingsGreat Business Lunch... service, food and value make Se7enth my first choice for a business lunch."
994. Selfish Gene,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3253000-Reviews-Selfish_Gene-Singapore.html,"Cafe, International",4.5,"40 Craig Road, Singapore 089678 Singapore","Central Area/City Area,0.5 km from Chinatown",+65 6423 1324,"1.278230,103.841949","DetailsCUISINESCafe, InternationalMealsBreakfast, Lunch, Dinner, BrunchFEATURESSeating, Reservations, Table ServiceView all detailsfeatures, about"
995. Two Chefs Eating Place,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d938899-Reviews-Two_Chefs_Eating_Place-Singapore.html,"Chinese, Asian",4,"Blk 116, Commonwealth Crescent, Singapore Singapore","Queenstown,2.0 km from Singapore Botanic Gardens",+65 6472 5361,"1.307233,103.800232","DetailsCUISINESChinese, Asian, SingaporeanMealsLunch, DinnerFEATURESTakeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table ServiceView all detailsfeatures"
Sushi Jiro,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430677-Reviews-Sushi_Jiro-Singapore.html,Sushi,4,"6 Raffles Boulevard PARKROYAL COLLECTION Marina Bay #04-600, Singapore 039594 Singapore","Marina Centre,0.6 km from Merlion Park",+65 6445 3055,"1.291783,103.857346",Food and ambienceSushiSushi and sashimi were fresh and succulent.Great omakase experienceBusiness meetings... while having quality meal even couples or some business lunch/dinner.
996. Tamashii Robataya,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4541252-Reviews-Tamashii_Robataya-Singapore.html,"Japanese, Asian",4,"12 North Canal Road, #02-01, Singapore Singapore","Central Area/City Area,0.3 km from Boat Quay",+65 6222 0316,"1.285961,103.848633","DetailsCUISINESJapanese, AsianMealsLunch, DinnerFEATURESReservations, Seating, Serves Alcohol, Table ServiceView all detailsfeatures"
997. Ginger,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12717532-Reviews-Ginger-Singapore.html,"Chinese, Asian",4,"7500 Beach Road The Plaza PARKROYAL on Beach Road, Singapore 199591 Singapore","Crawford,1.2 km from Little India",+65 6505 5710,"1.300392,103.860672","Food and ambienceChinese, Asian, Singaporean, SeafoodAn assortment of cakes, eclairs and cream puffs, 2 ice cream flavors w free f...The foods are nice, roasted duck, fish, chicken satay, soft shell crab, laksa...... rice dumplings in sweet soup - Ice cream - Espresso - Cuttlefish Kang Kon...Like the laksa, satay.... Will revisit again if any gathering needed to."
998. The Flying Squirrel,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4304718-Reviews-The_Flying_Squirrel-Singapore.html,"Japanese, Sushi",4,"92 Amoy Street #01-02 (Entrance inside alleyway), Singapore 069911 Singapore","Central Area/City Area,0.4 km from Chinatown",+65 6226 2203,"1.281339,103.847000","Food and ambienceJapanese, Sushi, AsianBest sushi in SingaporeOur favorites where the Tuna Tataki, Gyoza, Spicy Maguro Maki, and then unexp...Visited for a quick meal after work and absolutely loved the salmon sashimi a...The surprise was the salmon rice below the beautifully decorated sashimi."
999. Char,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5860768-Reviews-Char-Singapore.html,"Chinese, Asian",4,"393 Guillemard Road 363 Jalan Besar, Singapore, Singapore 399790 Singapore","Lavender,1.2 km from Little India",+65 6842 7759,"1.312645,103.859787","DetailsCUISINESChinese, Asian, SingaporeanMealsLunch, DinnerFEATURESTakeout, Reservations, Seating, Table Service, Serves AlcoholView all detailsfeatures"
1000. Indian Express,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3267319-Reviews-Indian_Express-Singapore.html,"Indian, Asian",4,"38 Race Course Road, Singapore 218555 Singapore","Little India,0.3 km from Little India",+65 6341 7429,"1.307990,103.850792","Food and ambienceIndian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free OptionsDelicious Indian food in Little IndiI had garlic naan and Potato, pea curry cooked in a cashew nut tomato curry.... Chicken Vindaloo, and Palak Paneer (spinach and cottage cheese, a perenni...We had 3 great vegetarian dishes in ample portion and some Masala tea."
Pince and Pints (Duxton),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7125626-Reviews-Pince_and_Pints_Duxton-Singapore.html,"Bar, Seafood",4,"33 Duxton Road, Singapore 089497 Singapore","Outram,0.4 km from Chinatown",+65 6225 7558,"1.279099,103.843407","Food and ambienceBar, Seafood, GrillThe seafood was very fresh especially the lobsters.Excellent service and best lobster rollIn fact is better than burger and lobster!The Lobster was awesome... Better than lobster and burger at jewel."
1001. Earlybird,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14045239-Reviews-Earlybird-Singapore.html,"Cafe, Fusion",4.5,"17 Jalan Pinang, Singapore 199149 Singapore","Central Area/City Area,0.8 km from Little India",+65 9788 6856,"1.303056,103.858124","DetailsPRICE RANGES$4 - S$25CUISINESCafe, FusionSpecial DietsVegetarian FriendlyView all detailsmeals, features, about"
1002. Komadori,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15703322-Reviews-Komadori-Singapore.html,Japanese,4.5,"47 Bencoolen Street #01-02 Hotel Bencoolen, Singapore 189626 Singapore",0.8 km from Little India,,"1.298988,103.850380","DetailsCUISINESJapaneseMealsLunch, DinnerFEATURESReservations, Seating, Table ServiceView all detailsfeatures"
1003. Breez Bistro.Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10073814-Reviews-Breez_Bistro_Bar-Singapore.html,"International, Bar",4.5,"50 East Coast Road Roxy Square Grand Mercure Hotel Roxy, Singapore 428769 Singapore","Marine Parade,4.9 km from Singapore Flyer",+65 6340 5860,"1.303611,103.904701","DetailsCUISINESInternational, Bar, Asian, PubSpecial DietsVegetarian FriendlyMealsDinner, LunchView all detailsmeals, features, about"
1004. Bochinche,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10536294-Reviews-Bochinche-Singapore.html,"Steakhouse, Argentinian",4,"115 Amoy Street #01-02, Singapore 069935 Singapore","Central Area/City Area,0.4 km from Chinatown",+65 6235 4990,"1.282250,103.847885","Food and ambienceSteakhouse, Argentinian, LatinThe food is spot on (try the provolone cheese and the empanadas de carne), th...We had the Black Onyx Sirloin, a Ribeye and the beef & bone marrow burger and...Business meetingsWe went there for a business lunch and ordered the lunch set."
1005. Blue Jasmine,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12558362-Reviews-Blue_Jasmine-Singapore.html,"Asian, Thai",4,"10 Farrer Park Station Road Level 5, Park Hotel Farrer Park, Singapore 217564 Singapore","Central Area/City Area,0.8 km from Little India",+65 6824 8851,"1.312268,103.854057","Food and ambienceAsian, Thai, Vegetarian Friendly, HalalExcellent Thai food... the food to be servrd (2) the prawns that i ordered was about 3-4 tiny on...beefMy favourite is the pad thai."
Waterfall Ristorante Italiano,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,"Italian, Mediterranean",4.5,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4398,"1.311490,103.826447","Food and ambienceItalian, Mediterranean, European, Healthy, Vegetarian FriendlyExcellent seafood spaghetti with generous amounts of clams, mussels and prawns.We ordered caesar salad and the seafood stew (half a lobster, scallops, clams...Special Occasion Dining, Romantic, Groups, Business meetingsA nice birthday treatGreat ambience for a quiet or romantic dinner!"
1006. Shiraz,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d850303-Reviews-Shiraz-Singapore.html,"Middle Eastern, Persian",4,"Block 3A Clarke Quay #01-06 River Valley Road, Singapore 1709020 Singapore","Central Area/City Area,0.8 km from Asian Civilisations Museum",+65 6334 2282,"1.289961,103.845329","DetailsCUISINESMiddle Eastern, PersianSpecial DietsHalalMealsDinner, Lunch, After-hoursView all detailsmeals, features"
1007. Heart of Darkness Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17421957-Reviews-Heart_of_Darkness_Singapore-Singapore.html,"Bar, Asian",5,"55 Tras Street, Singapore 078994 Singapore",0.5 km from Chinatown,+65 6208 7940,"1.277960,103.844521","Food and ambienceBar, Asian, Pub, Vietnamese, GastropubThe best beer in Asia finds a home in SingaporeThe chill atmosphere is perfect for a happy hour pint after work or a Sunday...... has grown to be so successful across Asia in just a few years since opening.The new bar in Tras street has the same “small” and intimate feeling of the p..."
1008. 73@Hillcrest,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10621780-Reviews-73_Hillcrest-Singapore.html,"International, Grill",4.5,"73 Hillcrest Road Hillcrest Park, Singapore 288945 Singapore","Hillcrest,2.8 km from Singapore Botanic Gardens",+65 6904 8373,"1.331541,103.807533","Food and ambienceInternational, Grill, AmericanSis had the Burger and it was huge and succulent.This restaurant serves Western, Japanese ramen and local delights.I was a bit apprehensive about the burger being topped with vegetable fritter...They have introduced a ramen disk with pork belly and egg that is too die for."
